               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.069637,             0.20866,            0.039801,             0.44945,             0.29631,             0.28627,             0.13955,            0.065909,              0.1582,            0.031631,           0.0091406,           0.0091406,           0.0091406
                  62,            0.069685,             0.20874,            0.039792,              0.4402,             0.29709,             0.28496,             0.13804,            0.065885,             0.15799,            0.031593,           0.0091127,           0.0091127,           0.0091127
                  63,            0.069649,             0.20865,            0.039779,             0.46833,              0.2826,             0.28444,             0.13956,            0.065891,             0.15811,              0.0315,           0.0090844,           0.0090844,           0.0090844
                  64,            0.069555,             0.20806,            0.039668,             0.46483,             0.28772,             0.28712,             0.13994,            0.065866,             0.15817,            0.031543,           0.0090557,           0.0090557,           0.0090557
                  65,             0.06951,             0.20794,            0.039805,             0.46034,             0.29075,             0.29068,             0.14086,            0.065805,              0.1581,             0.03155,           0.0090266,           0.0090266,           0.0090266
                  66,            0.069585,             0.20904,            0.039675,             0.46165,             0.29256,             0.28821,             0.13964,            0.065831,              0.1581,            0.031557,           0.0089972,           0.0089972,           0.0089972
                  67,            0.069508,             0.20814,            0.039598,             0.45467,             0.29316,             0.28801,             0.13976,             0.06588,              0.1582,            0.031476,           0.0089673,           0.0089673,           0.0089673
                  68,            0.069511,             0.20813,            0.039683,             0.44172,             0.29608,             0.28782,             0.14012,             0.06583,             0.15794,            0.031454,           0.0089371,           0.0089371,           0.0089371
                  69,            0.069563,             0.20859,            0.039574,             0.41807,             0.31033,              0.2885,             0.13995,            0.065788,             0.15796,            0.031539,           0.0089065,           0.0089065,           0.0089065
                  70,            0.069502,             0.20866,            0.039616,             0.44392,             0.29851,              0.2895,             0.14092,            0.065789,             0.15791,             0.03141,           0.0088755,           0.0088755,           0.0088755
                  71,            0.069451,             0.20796,            0.039557,             0.45631,             0.29466,             0.28988,             0.14079,            0.065768,             0.15801,            0.031344,           0.0088442,           0.0088442,           0.0088442
                  72,            0.069439,             0.20833,            0.039655,             0.45406,             0.29385,              0.2899,             0.14106,            0.065704,             0.15792,            0.031329,           0.0088124,           0.0088124,           0.0088124
                  73,            0.069455,             0.20819,            0.039388,             0.45267,             0.29484,              0.2908,             0.14141,            0.065728,             0.15783,            0.031443,           0.0087804,           0.0087804,           0.0087804
                  74,            0.069427,             0.20874,            0.039502,             0.42566,             0.30602,             0.29124,             0.14134,            0.065725,             0.15791,              0.0313,           0.0087479,           0.0087479,           0.0087479
                  75,            0.069479,             0.20819,            0.039505,              0.4606,             0.29162,             0.28902,             0.14095,            0.065753,             0.15781,            0.031303,           0.0087151,           0.0087151,           0.0087151
